AGRICULTURAL PRODUCTION – FOODGRAINS

( Lakh tonnes)

Year	Cereals				 	
	Rice	Wheat	Coarse Cereals	Total Cereals	Pulses	Total Foodgrains
2020-21   	1223	1095	512	2829	257	3087
2019-20   	1189	1079	478	2745	230	2975
2018-19   	1165	1036	431	2631	221	2852
2017-18   	1128	999	470	2596	254	2850
2016-17   	1097	985	438	2520	231	2751
2015-16   	1044	923	385	2352	164	2516
2014-15   	1055	865	429	2349	172	2520
2013-14   	1067	959	433	2458	193	2650
2012-13   	1052	935	400	2388	183	2571
2011-12   	1053	949	420	2422	171	2593
2010-11   	960	869	434	2263	182	2445
2009-10   	891	808	336	2035	147	2181
2008-09   	992	807	400	2199	146	2345
2007-08   	967	786	408	2160	148	2308
2006-07   	934	758	339	2031	142	2173
2005-06   	918	694	341	1952	134	2086
2004-05   	831	686	335	1852	131	1984
2003-04   	885	722	376	1983	149	2132
2002-03   	718	658	261	1637	111	1748
2001-02   	933	728	334	1995	134	2129
2000-01   	850	697	311	1857	111	1968
1999-00   	897	764	303	1964	134	2098
1998-99   	861	713	313	1887	149	2036
1997-98   	825	664	304	1793	138	1931
1996-97   	817	694	341	1852	142	1994
1995-96   	770	621	290	1681	123	1804
1994-95   	818	658	299	1775	140	1915
1993-94   	803	598	308	1710	133	1843
1992-93   	729	572	366	1667	128	1795
1991-92   	747	557	260	1564	120	1684
1990-91   	743	551	327	1621	143	1764
1989-90   	736	499	348	1582	129	1710
1988-89   	705	541	315	1561	139	1699
1987-88   	569	462	264	1294	110	1404
1986-87   	606	443	268	1317	117	1434
1985-86   	638	471	262	1371	134	1504
1984-85   	583	441	312	1336	120	1455
1983-84   	601	455	339	1395	129	1524
1982-83   	471	428	278	1177	119	1295
1981-82   	533	375	311	1218	115	1333
1980-81   	536	363	290	1190	106	1296
1979-80   	423	318	270	1011	86	1097
1978-79   	538	355	304	1197	122	1319
1977-78   	527	318	300	1144	120	1264
1976-77   	419	290	289	998	114	1112
1975-76   	487	288	304	1080	130	1210
1974-75   	396	241	261	898	100	998
1973-74   	441	218	288	947	100	1047
1972-73   	392	247	231	871	99	970
1971-72   	431	264	246	941	111	1052
1970-71   	422	238	306	966	118	1084
1969-70   	404	201	273	878	117	995
1968-69   	398	187	252	836	104	940
1967-68   	376	165	288	830	121	951
1966-67   	304	114	241	659	84	742
1965-66   	306	104	214	624	99	724
1964-65   	393	123	254	769	124	894
1963-64   	370	99	237	706	101	806
1962-63   	332	108	246	686	115	802
1961-62   	357	121	232	710	118	827
1960-61   	346	110	237	693	127	820
1959-60   	317	103	229	649	118	767
1958-59   	309	100	232	640	132	771
1957-58   	255	80	212	548	96	643
1956-57   	290	94	199	583	116	699
1955-56   	276	88	195	558	110	669
1954-55   	252	90	228	571	110	680
1953-54   	282	80	230	592	106	698
1952-53   	229	75	196	500	92	592
1951-52   	213	62	161	436	84	520
1950-51   	206	65	154	424	84	508

Note : Data for 2020-21 are based on Fourth Advance Estimates.

Also see Notes on Tables.

Source : Ministry of Agriculture & Farmers Welfare, Government of India.
